 			recordClassName	targetType	name	displayName	shortDisplayName	description	geneOrTranscript	displayOrder	scope	scope	scope
GeneRecordClasses.GeneRecordClass.gene_symbol	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	gene_symbol				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.synonyms	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	synonyms				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.has_genetic_evidence_for_ad_risk	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	has_genetic_evidence_for_ad_risk				gene			record-internal	download
GeneRecordClasses.GeneRecordClass.has_genetic_evidence_for_ad_risk_display	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	has_genetic_evidence_for_ad_risk_display				gene		results	record-internal	
GeneRecordClasses.GeneRecordClass.ad_evidence_flag	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	ad_evidence_flag				gene		results	record-internal	
GeneRecordClasses.GeneRecordClass.num_colocated_variants	http://edamontology.org/topic_0199	Genetic variation	GeneRecordClasses.GeneRecordClass	attribute	num_colocated_variants				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.num_unique_colocated_variants	http://edamontology.org/topic_0199	Genetic variation	GeneRecordClasses.GeneRecordClass	attribute	num_unique_colocated_variants				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.is_reversed	GenomicSequenceLocationCategory	GenomicSequenceLocationCategory	GeneRecordClasses.GeneRecordClass	attribute	is_reversed							record-internal	
GeneRecordClasses.GeneRecordClass.hgnc_id	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	hgnc_id				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.omim_id	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	omim_id				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.ucsc_id	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	ucsc_id				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.vega_id	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	vega_id				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.entrez_id	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	entrez_id				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.ensembl_id	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	ensembl_id				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.uniprot_id	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	uniprot_id				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.cytogenetic_location	GenomicSequenceLocationCategory	GenomicSequenceLocationCategory	GeneRecordClasses.GeneRecordClass	attribute	cytogenetic_location				gene		results	record-internal	download
													
GeneRecordClasses.GeneRecordClass.full_jbrowse_link	GenomicSequenceLocationCategory	GenomicSequenceLocationCategory	GeneRecordClasses.GeneRecordClass	attribute	full_jbrowse_link				gene			record-internal	
GeneRecordClasses.GeneRecordClass.jbrowse_source_url	GenomicSequenceLocationCategory	GenomicSequenceLocationCategory	GeneRecordClasses.GeneRecordClass	attribute	jbrowse_source_url				gene			record-internal	
GeneRecordClasses.GeneRecordClass.dynspan_link	http://edamontology.org/topic_1775	Function analysis	GeneRecordClasses.GeneRecordClass	attribute	dynspan_link				gene			record-internal	
GeneRecordClasses.GeneRecordClass.span	GenomicSequenceLocationCategory	GenomicSequenceLocationCategory	GeneRecordClasses.GeneRecordClass	attribute	span				gene		results	record-internal	download
													
GeneRecordClasses.GeneRecordClass.ad_skat_adsp	http://edamontology.org/topic_0199	Genetic variation	GeneRecordClasses.GeneRecordClass	table	ad_skat_adsp			ADSP Case/Control Genetic evidenc	gene			record	download
GeneRecordClasses.GeneRecordClass.ad_variants_from_gwas	http://www.niagadsontology.org/no_01	NIAGADS GWAS	GeneRecordClasses.GeneRecordClass	table	ad_variants_from_gwas				gene	1		record	download
GeneRecordClasses.GeneRecordClass.other_variants_from_gwas	http://www.niagadsontology.org/no_01	NIAGADS GWAS	GeneRecordClasses.GeneRecordClass	table	other_variants_from_gwas				gene	2		record	download
GeneRecordClasses.GeneRecordClass.ad_variants_from_catalog	http://www.niagadsontology.org/no_02	GWAS Catalog	GeneRecordClasses.GeneRecordClass	table	ad_variants_from_catalog				gene	1		record	download
GeneRecordClasses.GeneRecordClass.other_variants_from_catalog	http://www.niagadsontology.org/no_02	GWAS Catalog	GeneRecordClasses.GeneRecordClass	table	other_variants_from_catalog				gene	2		record	download
GeneRecordClasses.GeneRecordClass.go_terms	http://edamontology.org/topic_1775	Function analysis	GeneRecordClasses.GeneRecordClass	table	go_terms			GO Annotation	gene			record	download
GeneRecordClasses.GeneRecordClass.pathways	http://edamontology.org/topic_0602	Molecular interactions	GeneRecordClasses.GeneRecordClass	table	pathways			KEGG Pathways	gene			record	download
GeneRecordClasses.GeneRecordClass.record_link_outs	http://edamontology.org/topic_3345	Data identity and mapping	GeneRecordClasses.GeneRecordClass	table	record_link_outs				gene	1		record	download
GeneRecordClasses.GeneRecordClass.sequence_link_outs	http://edamontology.org/topic_3345	Data identity and mapping	GeneRecordClasses.GeneRecordClass	table	sequence_link_outs				gene	4		record	download
GeneRecordClasses.GeneRecordClass.protein_link_outs	http://edamontology.org/topic_3345	Data identity and mapping	GeneRecordClasses.GeneRecordClass	table	protein_link_outs				gene	3		record	download
GeneRecordClasses.GeneRecordClass.clinical_link_outs	http://edamontology.org/topic_3345	Data identity and mapping	GeneRecordClasses.GeneRecordClass	table	clinical_link_outs				gene	2		record	download
GeneRecordClasses.GeneRecordClass.transcript_link_outs	http://edamontology.org/topic_3345	Data identity and mapping	GeneRecordClasses.GeneRecordClass	table	transcript_link_outs				gene	5		record	download
GeneRecordClasses.GeneRecordClass.gws_variants_summary_plot	http://www.niagadsontology.org/no_01	NIAGADS GWAS	GeneRecordClasses.GeneRecordClass	attribute	gws_variants_summary_plot				gene			record-internal	
GeneRecordClasses.GeneRecordClass.functional_genomics_enhancers	http://edamontology.org/topic_0749	Transcription factors and regulatory sites	GeneRecordClasses.GeneRecordClass	table	functional_genomics_enhancers				gene			record	download
													
## Variant Questions  ##													
													
VariantRecordClasses.VariantRecordClass.VariantQuestions.vid	http://edamontology.org/topic_0219	Curation and Annotation	VariantRecordClasses.VariantRecordClass	search	VariantQuestions.vid						menu	webservice	
VariantRecordClasses.VariantRecordClass.VariantQuestions.vupload	http://edamontology.org/topic_0219	Curation and Annotation	VariantRecordClasses.VariantRecordClass	search	VariantQuestions.vupload						menu	webservice	
VariantRecordClasses.VariantRecordClass.VariantQuestions.gwas_stats	http://www.niagadsontology.org/no_01	NIAGADS GWAS	VariantRecordClasses.VariantRecordClass	search	VariantQuestions.gwas_stats						menu	webservice	
													
## Variant Attributes ##													
													
VariantRecordClasses.VariantRecordClass.display_metaseq_id	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	display_metaseq_id							record-internal	
VariantRecordClasses.VariantRecordClass.ref_snp_id	http://edamontology.org/topic_0219	Curation and Annotation	VariantRecordClasses.VariantRecordClass	attribute	ref_snp_id						results	record-internal	download
VariantRecordClasses.VariantRecordClass.metaseq_id	http://edamontology.org/topic_0219	Curation and Annotation	VariantRecordClasses.VariantRecordClass	attribute	metaseq_id						results	record-internal	download
VariantRecordClasses.VariantRecordClass.chromosome	GenomicSequenceLocationCategory	GenomicSequenceLocationCategory	VariantRecordClasses.VariantRecordClass	attribute	chromosome						results	record-internal	download
VariantRecordClasses.VariantRecordClass.position	GenomicSequenceLocationCategory	GenomicSequenceLocationCategory	VariantRecordClasses.VariantRecordClass	attribute	position						results	record-internal	download
VariantRecordClasses.VariantRecordClass.location	GenomicSequenceLocationCategory	GenomicSequenceLocationCategory	VariantRecordClasses.VariantRecordClass	attribute	location						results	record-internal	download
VariantRecordClasses.VariantRecordClass.ref_allele	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	ref_allele						results	record-internal	download
VariantRecordClasses.VariantRecordClass.alt_allele	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	alt_allele						results	record-internal	download
VariantRecordClasses.VariantRecordClass.display_allele	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	display_allele						results	record-internal	download
VariantRecordClasses.VariantRecordClass.sequence_allele	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	sequence_allele							record-internal	
VariantRecordClasses.VariantRecordClass.sequence_allele_display	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	sequence_allele_display							record-internal	
VariantRecordClasses.VariantRecordClass.variant_class	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	variant_class		 				results	record-internal	download
VariantRecordClasses.VariantRecordClass.variant_class_abbrev	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	variant_class_abbrev						results	record-internal	download
VariantRecordClasses.VariantRecordClass.adsp_display_flag	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	adsp_display_flag						results	record-internal	
VariantRecordClasses.VariantRecordClass.is_adsp_variant	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	is_adsp_variant							record-internal	download
VariantRecordClasses.VariantRecordClass.is_adsp_wes	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	is_adsp_wes							record-internal	download
VariantRecordClasses.VariantRecordClass.is_adsp_wgs	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	is_adsp_wgs							record-internal	download
VariantRecordClasses.VariantRecordClass.adsp_wes_qc_filter_status	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	adsp_wes_qc_filter_status							record-internal	download
VariantRecordClasses.VariantRecordClass.adsp_wgs_qc_filter_status	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	adsp_wgs_qc_filter_status							record-internal	download
VariantRecordClasses.VariantRecordClass.adsp_wes_qc_filter_status_display	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	adsp_wes_qc_filter_status_display						results	record-internal	
VariantRecordClasses.VariantRecordClass.adsp_wgs_qc_filter_status_display	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	adsp_wgs_qc_filter_status_display						results	record-internal	
													
VariantRecordClasses.VariantRecordClass.most_severe_consequence	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	attribute	most_severe_consequence						results	record-internal	download
VariantRecordClasses.VariantRecordClass.msc_impact	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	attribute	msc_impact						results	record-internal	download
VariantRecordClasses.VariantRecordClass.msc_impacted_gene_link	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	attribute	msc_impacted_gene_link						results	record-internal	
VariantRecordClasses.VariantRecordClass.msc_impacted_gene	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	attribute	msc_impacted_gene							record-internal	download
VariantRecordClasses.VariantRecordClass.msc_impacted_symbol	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	attribute	msc_impacted_symbol							record-internal	download
VariantRecordClasses.VariantRecordClass.msc_impacted_transcript	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	attribute	msc_impacted_transcript						results	record-internal	download
VariantRecordClasses.VariantRecordClass.msc_amino_acid_change	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	attribute	msc_amino_acid_change						results	record-internal	download
VariantRecordClasses.VariantRecordClass.msc_codon_change	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	attribute	msc_codon_change						results	record-internal	download
VariantRecordClasses.VariantRecordClass.msc_is_coding	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	attribute	msc_is_coding						results	record-internal	download
													
VariantRecordClasses.VariantRecordClass.gws_datasets_summary_plot	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	gws_datasets_summary_plot							record-internal	
VariantRecordClasses.VariantRecordClass.locuszoom_gwas_datasets	http://www.niagadsontology.org/no_01	NIAGADS GWAS	VariantRecordClasses.VariantRecordClass	table	locuszoom_gwas_datasets					1		record	
													
VariantRecordClasses.VariantRecordClass.is_multi_allelic	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	is_multi_allelic						results	record-internal	download
VariantRecordClasses.VariantRecordClass.num_colocated_variants	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	num_colocated_variants							record-internal	
VariantRecordClasses.VariantRecordClass.colocated_variants	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	colocated_variants							record-internal	
VariantRecordClasses.VariantRecordClass.alternative_variants	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	attribute	alternative_variants							record-internal	
													
VariantRecordClasses.VariantRecordClass.cadd_raw_score	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	attribute	cadd_raw_score						results	record-internal	download
VariantRecordClasses.VariantRecordClass.cadd_phred_score	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	attribute	cadd_phred_score						results	record-internal	download
													
VariantRecordClasses.VariantRecordClass.sequence	http://edamontology.org/topic_0219	Curation and Annotation	VariantRecordClasses.VariantRecordClass	attribute	sequence						results		download
													
VariantRecordClasses.VariantRecordClass.allele_frequencies	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	table	allele_frequencies					1		record	download
VariantRecordClasses.VariantRecordClass.transcript_consequences	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	table	transcript_consequences					1		record	download
VariantRecordClasses.VariantRecordClass.intergenic_consequences	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	table	intergenic_consequences					4		record	download
VariantRecordClasses.VariantRecordClass.regulatory_consequences	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	table	regulatory_consequences					2		record	download
VariantRecordClasses.VariantRecordClass.motif_consequences	http://edamontology.org/topic_1775	Function analysis	VariantRecordClasses.VariantRecordClass	table	motif_consequences					3		record	download
VariantRecordClasses.VariantRecordClass.ad_associations_from_gwas	http://www.niagadsontology.org/no_01	NIAGADS GWAS	VariantRecordClasses.VariantRecordClass	table	ad_associations_from_gwas					1		record	download
VariantRecordClasses.VariantRecordClass.other_associations_from_gwas	http://www.niagadsontology.org/no_01	NIAGADS GWAS	VariantRecordClasses.VariantRecordClass	table	other_associations_from_gwas					2		record	download
VariantRecordClasses.VariantRecordClass.ad_associations_from_catalog	http://www.niagadsontology.org/no_02	GWAS Catalog	VariantRecordClasses.VariantRecordClass	table	ad_associations_from_catalog					1		record	download
VariantRecordClasses.VariantRecordClass.other_associations_from_catalog	http://www.niagadsontology.org/no_02	GWAS Catalog	VariantRecordClasses.VariantRecordClass	table	other_associations_from_catalog					2		record	download
VariantRecordClasses.VariantRecordClass.linkage	http://edamontology.org/topic_0199	Genetic variation	VariantRecordClasses.VariantRecordClass	table	linkage					2		record	download
													
## Dataset Questions  ##													
													
													
## Dataset Attributes ##													
													
DatasetRecordClasses.DatasetRecordClass.name	http://edamontology.org/topic_0219	Curation and Annotation	DatasetRecordClasses.DatasetRecordClass	attribute	name					1		record-internal	download
DatasetRecordClasses.DatasetRecordClass.description	http://edamontology.org/topic_0219	Curation and Annotation	DatasetRecordClasses.DatasetRecordClass	attribute	description					4		record-internal	download
DatasetRecordClasses.DatasetRecordClass.gwas	http://edamontology.org/topic_0199	Genetic variation	DatasetRecordClasses.DatasetRecordClass	table	gwas					1		record	download
DatasetRecordClasses.DatasetRecordClass.rare_variants	http://edamontology.org/topic_0199	Genetic variation	DatasetRecordClasses.DatasetRecordClass	table	rare_variants					2		record	download
DatasetRecordClasses.DatasetRecordClass.gene_risk	http://edamontology.org/topic_0199	Genetic variation	DatasetRecordClasses.DatasetRecordClass	table	gene_risk					3		record	download
DatasetRecordClasses.DatasetRecordClass.ontology	http://edamontology.org/topic_0219	Curation and Annotation	DatasetRecordClasses.DatasetRecordClass	table	ontology					3		record	download
DatasetRecordClasses.DatasetRecordClass.gene_annotation	http://edamontology.org/topic_0219	Curation and Annotation	DatasetRecordClasses.DatasetRecordClass	table	gene_annotation					3		record	download
DatasetRecordClasses.DatasetRecordClass.sequence_annotation	http://edamontology.org/topic_0219	Curation and Annotation	DatasetRecordClasses.DatasetRecordClass	table	sequence_annotation					3		record	download
DatasetRecordClasses.DatasetRecordClass.variant_annotation	http://edamontology.org/topic_0199	Genetic variation	DatasetRecordClasses.DatasetRecordClass	table	variant_annotation					3		record	download
DatasetRecordClasses.DatasetRecordClass.gene_function	http://edamontology.org/topic_1775	Function analysis	DatasetRecordClasses.DatasetRecordClass	table	gene_function					3		record	download
													
													
## GWAS Dataset Attributes ##													
													
TrackRecordClasses.TrackRecordClass.name	http://edamontology.org/topic_0219	Curation and Annotation	TrackRecordClasses.TrackRecordClass	attribute	name							record-internal	download
TrackRecordClasses.TrackRecordClass.description	http://edamontology.org/topic_0219	Curation and Annotation	TrackRecordClasses.TrackRecordClass	attribute	description						results	record-internal	download
TrackRecordClasses.TrackRecordClass.category	http://edamontology.org/topic_0219	Curation and Annotation	TrackRecordClasses.TrackRecordClass	attribute	category							record-internal	
TrackRecordClasses.TrackRecordClass.is_adsp	http://edamontology.org/topic_0219	Curation and Annotation	TrackRecordClasses.TrackRecordClass	attribute	is_adsp						results	record-internal	download
TrackRecordClasses.TrackRecordClass.accession_link	http://edamontology.org/topic_0219	Curation and Annotation	TrackRecordClasses.TrackRecordClass	attribute	accession_link						results	record-internal	
TrackRecordClasses.TrackRecordClass.niagads_accession	http://edamontology.org/topic_0219	Curation and Annotation	TrackRecordClasses.TrackRecordClass	attribute	niagads_accession							record-internal	download
TrackRecordClasses.TrackRecordClass.search_link	http://edamontology.org/topic_0219	Curation and Annotation	TrackRecordClasses.TrackRecordClass	attribute	search_link						results	record-internal	
TrackRecordClasses.TrackRecordClass.attribution	http://edamontology.org/topic_0219	Curation and Annotation	TrackRecordClasses.TrackRecordClass	attribute	attribution						results	record-internal	download
TrackRecordClasses.TrackRecordClass.has_manhattan_plot	http://edamontology.org/topic_0199	Genetic variation	TrackRecordClasses.TrackRecordClass	attribute	has_manhattan_plot					1		record-internal	
TrackRecordClasses.TrackRecordClass.phenotype_list	http://edamontology.org/topic_0219	Curation and Annotation	TrackRecordClasses.TrackRecordClass	attribute	phenotype_list						results	record-internal	download
TrackRecordClasses.TrackRecordClass.covariate_list	http://edamontology.org/topic_0219	Curation and Annotation	TrackRecordClasses.TrackRecordClass	attribute	covariate_list						results	record-internal	download
													
TrackRecordClasses.TrackRecordClass.inferno_expanded_snps	http://www.niagadsontology.org/no_04	Linkage mapping	TrackRecordClasses.TrackRecordClass	table	inferno_expanded_snps					1		record-internal	
TrackRecordClasses.TrackRecordClass.inferno_tag_ideogram	http://www.niagadsontology.org/no_04	Linkage mapping	TrackRecordClasses.TrackRecordClass	table	inferno_tag_ideogram					2		record-internal	
TrackRecordClasses.TrackRecordClass.inferno_tags	http://www.niagadsontology.org/no_04	Linkage mapping	TrackRecordClasses.TrackRecordClass	table	inferno_tags					3		record-internal	
TrackRecordClasses.TrackRecordClass.inferno_genomic_partitions	http://edamontology.org/operation_0282	Genetic mapping	TrackRecordClasses.TrackRecordClass	table	inferno_genomic_partitions					1		record-internal	
TrackRecordClasses.TrackRecordClass.inferno_highchart_gene_mapping	http://edamontology.org/operation_0282	Genetic mapping	TrackRecordClasses.TrackRecordClass	table	inferno_highchart_gene_mapping					3		record-internal	
TrackRecordClasses.TrackRecordClass.inferno_highchart_list_lncRNA_mapping	http://edamontology.org/operation_0282	Genetic mapping	TrackRecordClasses.TrackRecordClass	table	inferno_highchart_list_lncRNA_mapping					4		record-internal	
TrackRecordClasses.TrackRecordClass.inferno_highchart_list_mRNA_mapping	http://edamontology.org/operation_0282	Genetic mapping	TrackRecordClasses.TrackRecordClass	table	inferno_highchart_list_mRNA_mapping					2		record-internal	
TrackRecordClasses.TrackRecordClass.inferno_highchart_enhancer_overlap_roadmap	http://www.niagadsontology.org/no_03	Functional mapping	TrackRecordClasses.TrackRecordClass	table	inferno_highchart_enhancer_overlap_roadmap					2		record-internal	
TrackRecordClasses.TrackRecordClass.inferno_highchart_enhancer_overlap_fantom5	http://www.niagadsontology.org/no_03	Functional mapping	TrackRecordClasses.TrackRecordClass	table	inferno_highchart_enhancer_overlap_fantom5					1		record-internal	
TrackRecordClasses.TrackRecordClass.top_variants	http://edamontology.org/topic_0199	Genetic variation	TrackRecordClasses.TrackRecordClass	table	top_variants					2		record	
TrackRecordClasses.TrackRecordClass.phenotypes	http://edamontology.org/topic_0219	Curation and Annotation	TrackRecordClasses.TrackRecordClass	table	phenotypes							record	
													
													
													
DatasetRecordClasses.NIAGADSDatasetRecordClass.name	http://edamontology.org/topic_0219	Curation and Annotation	DatasetRecordClasses.NIAGADSDatasetRecordClass	attribute	name						result	record-internal	download
DatasetRecordClasses.NIAGADSDatasetRecordClass.description	http://edamontology.org/topic_0219	Curation and Annotation	DatasetRecordClasses.NIAGADSDatasetRecordClass	attribute	description						result	record-internal	download
DatasetRecordClasses.NIAGADSDatasetRecordClass.external_link	http://edamontology.org/topic_0219	Curation and Annotation	DatasetRecordClasses.NIAGADSDatasetRecordClass	attribute	external_link						result	record-internal	download
DatasetRecordClasses.NIAGADSDatasetRecordClass.is_adsp	http://edamontology.org/topic_0219	Curation and Annotation	DatasetRecordClasses.NIAGADSDatasetRecordClass	attribute	is_adsp						result	record-internal	download
DatasetRecordClasses.NIAGADSDatasetRecordClass.datasets	http://edamontology.org/topic_0219	Curation and Annotation	DatasetRecordClasses.NIAGADSDatasetRecordClass	table	datasets						result	record	
													
OntologyRecordClasses.OntologyRecordClass.name	http://edamontology.org/topic_0219	Curation and Annotation	OntologyRecordClasses.OntologyRecordClass	attribute	name							record-internal	download
OntologyRecordClasses.OntologyRecordClass.description	http://edamontology.org/topic_0219	Curation and Annotation	OntologyRecordClasses.OntologyRecordClass	attribute	description							record-internal	download
OntologyRecordClasses.OntologyRecordClass.ontology	http://edamontology.org/topic_0219	Curation and Annotation	OntologyRecordClasses.OntologyRecordClass	attribute	ontology							record-internal	download
OntologyRecordClasses.OntologyRecordClass.terms	http://edamontology.org/topic_0219	Curation and Annotation	OntologyRecordClasses.OntologyRecordClass	table	terms							record	download
